forecast_date,target,target_end_date,location,type,quantile,value
2020-10-11,1 wk ahead cum death,2020-10-17,Nevada,point,,1703
2020-10-11,1 wk ahead cum death,2020-10-17,New Hampshire,point,,463
2020-10-11,1 wk ahead cum death,2020-10-17,New Jersey,point,,16219
2020-10-11,1 wk ahead cum death,2020-10-17,New Mexico,point,,938
2020-10-11,1 wk ahead cum death,2020-10-17,New York,point,,33385
2020-10-11,1 wk ahead cum death,2020-10-17,North Carolina,point,,3921
2020-10-11,1 wk ahead cum death,2020-10-17,North Dakota,point,,393
2020-10-11,1 wk ahead cum death,2020-10-17,Ohio,point,,5126
2020-10-11,1 wk ahead cum death,2020-10-17,Oklahoma,point,,1181
2020-10-11,1 wk ahead cum death,2020-10-17,Oregon,point,,645
2020-10-11,1 wk ahead cum death,2020-10-17,Pennsylvania,point,,8435
2020-10-11,1 wk ahead cum death,2020-10-17,Rhode Island,point,,1140
2020-10-11,1 wk ahead cum death,2020-10-17,South Carolina,point,,3642
2020-10-11,1 wk ahead cum death,2020-10-17,South Dakota,point,,348
2020-10-11,1 wk ahead cum death,2020-10-17,Tennessee,point,,2894
2020-10-11,1 wk ahead cum death,2020-10-17,Texas,point,,17466
2020-10-11,1 wk ahead cum death,2020-10-17,Utah,point,,558
2020-10-11,1 wk ahead cum death,2020-10-17,Vermont,point,,67
2020-10-11,1 wk ahead cum death,2020-10-17,Virginia,point,,3477
2020-10-11,1 wk ahead cum death,2020-10-17,Washington,point,,2249
2020-10-11,1 wk ahead cum death,2020-10-17,West Virginia,point,,430
2020-10-11,1 wk ahead cum death,2020-10-17,Wisconsin,point,,1573
2020-10-11,1 wk ahead cum death,2020-10-17,Wyoming,point,,72
2020-10-18,1 wk ahead cum death,2020-10-24,US,point,,224619
2020-10-18,1 wk ahead cum death,2020-10-24,Alabama,point,,2877
2020-10-18,1 wk ahead cum death,2020-10-24,Alaska,point,,96
2020-10-18,1 wk ahead cum death,2020-10-24,Arizona,point,,5893
2020-10-18,1 wk ahead cum death,2020-10-24,Arkansas,point,,1795
2020-10-18,1 wk ahead cum death,2020-10-24,California,point,,17380
2020-10-18,1 wk ahead cum death,2020-10-24,Colorado,point,,2245
2020-10-18,1 wk ahead cum death,2020-10-24,Connecticut,point,,4561
2020-10-18,1 wk ahead cum death,2020-10-24,Delaware,point,,676
2020-10-18,1 wk ahead cum death,2020-10-24,,point,,647
2020-10-18,1 wk ahead cum death,2020-10-24,Florida,point,,16459
2020-10-18,1 wk ahead cum death,2020-10-24,Georgia,point,,7786
2020-10-18,1 wk ahead cum death,2020-10-24,Hawaii,point,,206
2020-10-18,1 wk ahead cum death,2020-10-24,Idaho,point,,579
2020-10-18,1 wk ahead cum death,2020-10-24,Illinois,point,,9658
2020-10-18,1 wk ahead cum death,2020-10-24,Indiana,point,,4042
2020-10-18,1 wk ahead cum death,2020-10-24,Iowa,point,,1628
2020-10-18,1 wk ahead cum death,2020-10-24,Kansas,point,,966
2020-10-18,1 wk ahead cum death,2020-10-24,Kentucky,point,,1409
2020-10-18,1 wk ahead cum death,2020-10-24,Louisiana,point,,5805
2020-10-18,1 wk ahead cum death,2020-10-24,Maine,point,,155
2020-10-18,1 wk ahead cum death,2020-10-24,Maryland,point,,4078
2020-10-18,1 wk ahead cum death,2020-10-24,Massachusetts,point,,9827
2020-10-18,1 wk ahead cum death,2020-10-24,Michigan,point,,7456
2020-10-18,1 wk ahead cum death,2020-10-24,Minnesota,point,,2370
2020-10-18,1 wk ahead cum death,2020-10-24,Mississippi,point,,3255
2020-10-18,1 wk ahead cum death,2020-10-24,Missouri,point,,2770
2020-10-18,1 wk ahead cum death,2020-10-24,Montana,point,,300
2020-10-18,1 wk ahead cum death,2020-10-24,Nebraska,point,,642
2020-10-18,1 wk ahead cum death,2020-10-24,Nevada,point,,1752
2020-10-18,1 wk ahead cum death,2020-10-24,New Hampshire,point,,477
2020-10-18,1 wk ahead cum death,2020-10-24,New Jersey,point,,16258
2020-10-18,1 wk ahead cum death,2020-10-24,New Mexico,point,,960
2020-10-18,1 wk ahead cum death,2020-10-24,New York,point,,33476
2020-10-18,1 wk ahead cum death,2020-10-24,North Carolina,point,,4098
2020-10-18,1 wk ahead cum death,2020-10-24,North Dakota,point,,458
2020-10-18,1 wk ahead cum death,2020-10-24,Ohio,point,,5198
2020-10-18,1 wk ahead cum death,2020-10-24,Oklahoma,point,,1255
2020-10-18,1 wk ahead cum death,2020-10-24,Oregon,point,,663
2020-10-18,1 wk ahead cum death,2020-10-24,Pennsylvania,point,,8573
2020-10-18,1 wk ahead cum death,2020-10-24,Rhode Island,point,,1161
2020-10-18,1 wk ahead cum death,2020-10-24,South Carolina,point,,3732
2020-10-18,1 wk ahead cum death,2020-10-24,South Dakota,point,,378
2020-10-18,1 wk ahead cum death,2020-10-24,Tennessee,point,,3079
2020-10-18,1 wk ahead cum death,2020-10-24,Texas,point,,17968
2020-10-18,1 wk ahead cum death,2020-10-24,Utah,point,,593
2020-10-18,1 wk ahead cum death,2020-10-24,Vermont,point,,65
2020-10-18,1 wk ahead cum death,2020-10-24,Virginia,point,,3525
2020-10-18,1 wk ahead cum death,2020-10-24,Washington,point,,2299
2020-10-18,1 wk ahead cum death,2020-10-24,West Virginia,point,,442
2020-10-18,1 wk ahead cum death,2020-10-24,Wisconsin,point,,1720
2020-10-18,1 wk ahead cum death,2020-10-24,Wyoming,point,,73
2020-10-25,1 wk ahead cum death,2020-10-31,US,point,,230061
