State_FIPS,County_FIPS,Year,Week,Population_Adjustment,Deaths_Per100k,Excess_Deaths_Per100k
51,1,2019,20,Constant,15,0.0
51,1,2020,20,Constant,24,9.0
51,1,2015,20,Lagged,15,0.0
51,1,2016,20,Lagged,3,0.0
51,1,2017,20,Lagged,18,0.0
51,1,2018,20,Lagged,24,0.0
51,1,2019,20,Lagged,15,0.0
51,1,2020,20,Lagged,24,9.0
51,1,2015,21,Constant,9,0.0
51,1,2016,21,Constant,15,0.0
51,1,2017,21,Constant,27,0.0
51,1,2018,21,Constant,15,0.0
51,1,2019,21,Constant,24,0.0
51,1,2020,21,Constant,36,18.0
51,1,2015,21,Lagged,9,0.0
51,1,2016,21,Lagged,15,0.0
51,1,2017,21,Lagged,27,0.0
51,1,2018,21,Lagged,15,0.0
51,1,2019,21,Lagged,24,0.0
51,1,2020,21,Lagged,37,19.0
51,1,2015,22,Constant,18,0.0
51,1,2016,22,Constant,15,0.0
51,1,2017,22,Constant,24,0.0
51,1,2018,22,Constant,30,0.0
51,1,2019,22,Constant,21,0.0
51,1,2020,22,Constant,18,-3.6
51,1,2015,22,Lagged,18,0.0
51,1,2016,22,Lagged,15,0.0
51,1,2017,22,Lagged,24,0.0
51,1,2018,22,Lagged,30,0.0
51,1,2019,22,Lagged,21,0.0
51,1,2020,22,Lagged,18,-3.6
51,1,2015,23,Constant,9,0.0
51,1,2016,23,Constant,30,0.0
51,1,2017,23,Constant,24,0.0
51,1,2018,23,Constant,24,0.0
51,1,2019,23,Constant,30,0.0
51,1,2020,23,Constant,30,6.6
51,1,2015,23,Lagged,9,0.0
51,1,2016,23,Lagged,30,0.0
51,1,2017,23,Lagged,24,0.0
51,1,2018,23,Lagged,24,0.0
51,1,2019,23,Lagged,30,0.0
51,1,2020,23,Lagged,30,6.6
51,1,2015,24,Constant,15,0.0
51,1,2016,24,Constant,24,0.0
51,1,2017,24,Constant,0,0.0
51,1,2018,24,Constant,21,0.0
51,1,2019,24,Constant,30,0.0
51,1,2020,24,Constant,12,-6.0
51,1,2015,24,Lagged,15,0.0
51,1,2016,24,Lagged,24,0.0
51,1,2017,24,Lagged,0,0.0
51,1,2018,24,Lagged,21,0.0
51,1,2019,24,Lagged,30,0.0
51,1,2020,24,Lagged,12,-6.0
51,1,2015,25,Constant,21,0.0
51,1,2016,25,Constant,9,0.0
51,1,2017,25,Constant,15,0.0
51,1,2018,25,Constant,15,0.0
51,1,2019,25,Constant,18,0.0
51,1,2020,25,Constant,3,-12.6
51,1,2015,25,Lagged,21,0.0
51,1,2016,25,Lagged,9,0.0
51,1,2017,25,Lagged,15,0.0
51,1,2018,25,Lagged,15,0.0
51,1,2019,25,Lagged,18,0.0
51,1,2020,25,Lagged,3,-12.6
51,1,2015,26,Constant,18,0.0
51,1,2016,26,Constant,24,0.0
51,1,2017,26,Constant,27,0.0
51,1,2018,26,Constant,12,0.0
51,1,2019,26,Constant,18,0.0
51,1,2015,26,Lagged,18,0.0
51,1,2016,26,Lagged,24,0.0
51,1,2017,26,Lagged,27,0.0
51,1,2018,26,Lagged,12,0.0
51,1,2019,26,Lagged,18,0.0
51,1,2015,27,Constant,33,0.0
51,1,2016,27,Constant,21,0.0
51,1,2017,27,Constant,27,0.0
51,1,2018,27,Constant,27,0.0
51,1,2019,27,Constant,9,0.0
51,1,2015,27,Lagged,33,0.0
51,1,2016,27,Lagged,21,0.0
51,1,2017,27,Lagged,27,0.0
51,1,2018,27,Lagged,27,0.0
51,1,2019,27,Lagged,9,0.0
51,1,2015,28,Constant,6,0.0
51,1,2016,28,Constant,21,0.0
51,1,2017,28,Constant,30,0.0
51,1,2018,28,Constant,15,0.0
51,1,2019,28,Constant,30,0.0
51,1,2015,28,Lagged,6,0.0
51,1,2016,28,Lagged,21,0.0
51,1,2017,28,Lagged,30,0.0
51,1,2018,28,Lagged,15,0.0
51,1,2019,28,Lagged,30,0.0
51,1,2015,29,Constant,18,0.0
51,1,2016,29,Constant,18,0.0
51,1,2017,29,Constant,24,0.0
51,1,2018,29,Constant,36,0.0
51,1,2019,29,Constant,36,0.0
51,1,2015,29,Lagged,18,0.0
51,1,2016,29,Lagged,18,0.0
51,1,2017,29,Lagged,24,0.0
51,1,2018,29,Lagged,36,0.0
51,1,2019,29,Lagged,36,0.0
51,1,2015,30,Constant,18,0.0
51,1,2016,30,Constant,21,0.0
51,1,2017,30,Constant,18,0.0
51,1,2018,30,Constant,36,0.0
51,1,2019,30,Constant,6,0.0
51,1,2015,30,Lagged,18,0.0
51,1,2016,30,Lagged,21,0.0
51,1,2017,30,Lagged,18,0.0
51,1,2018,30,Lagged,36,0.0
51,1,2019,30,Lagged,6,0.0
51,1,2015,31,Constant,15,0.0
51,1,2016,31,Constant,18,0.0
51,1,2017,31,Constant,15,0.0
51,1,2018,31,Constant,18,0.0
51,1,2019,31,Constant,21,0.0
51,1,2015,31,Lagged,15,0.0
51,1,2016,31,Lagged,18,0.0
51,1,2017,31,Lagged,15,0.0
51,1,2018,31,Lagged,18,0.0
51,1,2019,31,Lagged,21,0.0
51,1,2015,32,Constant,9,0.0
51,1,2016,32,Constant,9,0.0
51,1,2017,32,Constant,33,0.0
51,1,2018,32,Constant,18,0.0
51,1,2019,32,Constant,9,0.0
51,1,2015,32,Lagged,9,0.0
51,1,2016,32,Lagged,9,0.0
51,1,2017,32,Lagged,33,0.0
51,1,2018,32,Lagged,18,0.0
51,1,2019,32,Lagged,9,0.0
51,1,2015,33,Constant,0,0.0
51,1,2016,33,Constant,6,0.0
51,1,2017,33,Constant,15,0.0
51,1,2018,33,Constant,18,0.0
51,1,2019,33,Constant,30,0.0
51,1,2015,33,Lagged,0,0.0
51,1,2016,33,Lagged,6,0.0
