State_FIPS,County_FIPS,Year,Week,Population_Adjustment,Deaths_Per100k,Excess_Deaths_Per100k,Age_Adjusted_Deaths_LT_65_Per100k,Age_Adjusted_Deaths_GTE_65_Per100k,Excess_Age_Adjusted_Deaths_LT_65_Per100k,Excess_Age_Adjusted_Deaths_GTE_65_Per100k
30,1,2019,28,Lagged,21,0.0,0,21,0.0,0.0
30,1,2020,28,Lagged,31,16.6,10,21,10.0,6.6
30,1,2015,29,Constant,21,0.0,21,0,0.0,0.0
30,1,2016,29,Constant,21,0.0,10,10,0.0,0.0
30,1,2017,29,Constant,10,0.0,0,10,0.0,0.0
30,1,2018,29,Constant,10,0.0,0,10,0.0,0.0
30,1,2019,29,Constant,10,0.0,0,10,0.0,0.0
30,1,2020,29,Constant,21,6.6,0,21,-6.2,13.0
30,1,2015,29,Lagged,21,0.0,21,0,0.0,0.0
30,1,2016,29,Lagged,21,0.0,10,10,0.0,0.0
30,1,2017,29,Lagged,10,0.0,0,10,0.0,0.0
30,1,2018,29,Lagged,10,0.0,0,10,0.0,0.0
30,1,2019,29,Lagged,10,0.0,0,10,0.0,0.0
30,1,2020,29,Lagged,21,6.6,0,21,-6.2,13.0
30,1,2015,30,Constant,31,0.0,0,31,0.0,0.0
30,1,2016,30,Constant,10,0.0,0,10,0.0,0.0
30,1,2017,30,Constant,10,0.0,0,10,0.0,0.0
30,1,2018,30,Constant,31,0.0,10,21,0.0,0.0
30,1,2019,30,Constant,0,0.0,0,0,0.0,0.0
30,1,2020,30,Constant,0,-16.4,0,0,-2.0,-14.4
30,1,2015,30,Lagged,32,0.0,0,32,0.0,0.0
30,1,2016,30,Lagged,10,0.0,0,10,0.0,0.0
30,1,2017,30,Lagged,10,0.0,0,10,0.0,0.0
30,1,2018,30,Lagged,31,0.0,10,21,0.0,0.0
30,1,2019,30,Lagged,0,0.0,0,0,0.0,0.0
30,1,2020,30,Lagged,0,-16.6,0,0,-2.0,-14.6
30,1,2015,31,Constant,10,0.0,0,10,0.0,0.0
30,1,2016,31,Constant,31,0.0,21,10,0.0,0.0
30,1,2017,31,Constant,31,0.0,21,10,0.0,0.0
